role,email,password,name
admin,admin@ezitech.com,Admin@123,Admin
mentor,mentor1@ezitech.com,ayeshakhan1,Ayesha Khan
mentor,mentor2@ezitech.com,zainabsheikh2,Zainab Sheikh
mentor,mentor3@ezitech.com,rabiaahmed3,Rabia Ahmed
mentor,mentor4@ezitech.com,sarakhan4,Sara Khan
mentor,mentor5@ezitech.com,zainabhussain5,Zainab Hussain
mentor,mentor6@ezitech.com,rabiasheikh6,Rabia Sheikh
mentor,mentor7@ezitech.com,zainabiqbal7,Zainab Iqbal
mentor,mentor8@ezitech.com,alimalik8,Ali Malik
mentor,mentor9@ezitech.com,omarbutt9,Omar Butt
mentor,mentor10@ezitech.com,omarahmed10,Omar Ahmed
mentor,mentor11@ezitech.com,ayesharaza11,Ayesha Raza
mentor,mentor12@ezitech.com,saraiqbal12,Sara Iqbal
mentor,mentor13@ezitech.com,talhaahmed13,Talha Ahmed
mentor,mentor14@ezitech.com,mariamraza14,Mariam Raza
mentor,mentor15@ezitech.com,ahmedkhan15,Ahmed Khan
mentor,mentor16@ezitech.com,hiraahmed16,Hira Ahmed
mentor,mentor17@ezitech.com,talhabutt17,Talha Butt
mentor,mentor18@ezitech.com,fatimaraza18,Fatima Raza
mentor,mentor19@ezitech.com,usmanahmed19,Usman Ahmed
mentor,mentor20@ezitech.com,rabiasheikh20,Rabia Sheikh
mentor,mentor21@ezitech.com,talhabutt21,Talha Butt
mentor,mentor22@ezitech.com,omarkhan22,Omar Khan
mentor,mentor23@ezitech.com,omarqureshi23,Omar Qureshi
mentor,mentor24@ezitech.com,hamzachaudhry24,Hamza Chaudhry
mentor,mentor25@ezitech.com,hamzaiqbal25,Hamza Iqbal
mentor,mentor26@ezitech.com,bilalbutt26,Bilal Butt
mentor,mentor27@ezitech.com,rabiahussain27,Rabia Hussain
mentor,mentor28@ezitech.com,zeeshanqureshi28,Zeeshan Qureshi
mentor,mentor29@ezitech.com,bilalhussain29,Bilal Hussain
mentor,mentor30@ezitech.com,saraahmed30,Sara Ahmed
student,intern1@ezitech.com,mariamahmed1,Mariam Ahmed
student,intern2@ezitech.com,hamzaqureshi2,Hamza Qureshi
student,intern3@ezitech.com,hirahussain3,Hira Hussain
student,intern4@ezitech.com,omarqureshi4,Omar Qureshi
